Season,ContestID,Date,Team,Conference,Opponent Team,Opponent Conference,Location,Player,P,S,Kills,Errors,TotalAttacks,Assists,Aces,SErr,ServeAtt,Digs,RetAtt,RErr,BlockSolos,BlockAssists,BErr,BHE,SetErr,SetAtt,OpponentRPI,OpponentModifier,HitPct,Passes,GIS,m_atk,m_blk,m_set,m_srv,m_rec,m_dig,pos_atk,pos_blk,pos_set,pos_srv,pos_rec,pos_dig,errors_total,raw_gis_plus,GIS_Plus,ContextMissing
2026-2027,6603659,2026-08-21,Louisville,ACC,Texas A&M,SEC,Neutral,Kamden Schrand,L/DS,4,0,0,0,1,0,0,0.0,6,17,1,0,0,0,0,0.0,4.0,0.7238,1.1801,0.0,16,5.0,1.0,1.0,1.1828,1.0,1.3622,0.9637,0.0,0.0,0.5914,0.0,5.449,1.4456,1.0,6.486,7.6544,False
2026-2027,6603659,2026-08-21,Louisville,ACC,Texas A&M,SEC,Neutral,Hannah Sherman,MB,4,5,3,8,0,0,0,,0,0,0,2,4,1,0,,,0.7238,1.1801,0.25,0,5.0,1.0266,0.9138,1.0,1.0,1.0,1.0,5.1332,3.6553,0.0,0.0,0.0,0.0,4.0,4.7885,5.6511,True
2026-2027,6603659,2026-08-21,Louisville,ACC,Texas A&M,SEC,Neutral,Jessica Drapp,L/DS,2,0,0,0,0,0,0,3.0,1,0,0,0,0,0,0,0.0,0.0,0.7238,1.1801,0.0,0,0.25,1.0,1.0,1.0,0.8089,1.0,1.0564,0.0,0.0,0.0,0.0,0.0,0.2641,0.0,0.2641,0.3117,False
2026-2027,6603663,2026-08-22,Wisconsin,Big Ten,Louisville,ACC,Neutral,Jaela Auguste,MB,3,8,0,13,0,0,0,,0,0,0,1,0,0,0,,,0.6826,1.1475,0.6154,0,9.0,1.4158,1.056,1.0,1.0,1.0,1.0,11.3268,1.056,0.0,0.0,0.0,0.0,0.0,12.3828,14.2094,True
2026-2027,6603663,2026-08-22,Wisconsin,Big Ten,Louisville,ACC,Neutral,Anna Bardaro,L/DS,3,0,0,0,3,0,0,0.0,11,9,0,0,0,0,0,0.0,11.0,0.6826,1.1475,0.0,9,6.5,1.0,1.0,1.1113,1.0,1.3315,1.0534,0.0,0.0,1.6669,0.0,2.9958,2.8968,0.0,7.5595,8.6746,False
2026-2027,6603663,2026-08-22,Wisconsin,Big Ten,Louisville,ACC,Neutral,Grace Egan,OH,3,6,1,16,3,3,1,12.0,9,11,0,0,0,0,0,0.0,4.0,0.6826,1.1475,0.3125,11,13.5,1.108,1.0,1.1828,1.374,1.1246,1.0447,6.6481,0.0,1.7742,4.1219,3.0926,2.3506,2.0,15.9876,18.3459,False
2026-2027,6603663,2026-08-22,Wisconsin,Big Ten,Louisville,ACC,Neutral,Audrey Flanagan,OH,3,13,5,28,1,2,1,14.0,8,19,0,0,0,0,0,0.0,2.0,0.6826,1.1475,0.2857,19,16.25,1.0928,1.0,1.0369,1.4448,1.1081,1.0792,14.2068,0.0,0.5184,2.8896,5.2633,2.1585,6.0,19.0365,21.8447,False
2026-2027,6603663,2026-08-22,Wisconsin,Big Ten,Louisville,ACC,Neutral,Charlie Fuerbringer,S,3,6,2,12,33,0,2,13.0,8,0,0,0,1,0,0,0.0,79.0,0.6826,1.1475,0.3333,0,21.0,1.1168,1.056,1.6575,0.6923,1.0,0.9841,6.7005,0.528,27.3495,0.0,0.0,1.9682,4.0,32.5463,37.3472,False
2026-2027,6603663,2026-08-22,Wisconsin,Big Ten,Louisville,ACC,Neutral,Isabelle Hoppe,S,3,0,0,0,1,0,1,9.0,2,0,0,0,0,0,0,0.0,2.0,0.6826,1.1475,0.0,0,0.0,1.0,1.0,1.0369,0.8159,1.0,0.9746,0.0,0.0,0.5184,0.0,0.0,0.4873,1.0,0.0057,0.0066,False
2026-2027,6603663,2026-08-22,Wisconsin,Big Ten,Louisville,ACC,Neutral,Grace Lopez,OH,3,0,0,0,0,1,0,10.0,0,0,0,0,0,0,0,0.0,0.0,0.6826,1.1475,0.0,0,1.0,1.0,1.0,1.0,1.1109,1.0,1.0,0.0,0.0,0.0,1.1109,0.0,0.0,0.0,1.1109,1.2747,False
2026-2027,6603663,2026-08-22,Wisconsin,Big Ten,Louisville,ACC,Neutral,Kristen Simon,L/DS,3,0,0,0,2,2,0,15.0,6,12,1,0,0,0,0,0.0,3.0,0.6826,1.1475,0.0,11,6.25,1.0,1.0,1.1121,1.441,1.1246,0.9275,0.0,0.0,1.1121,2.8821,3.0926,1.3913,1.0,7.4781,8.5812,False
2026-2027,6603663,2026-08-22,Wisconsin,Big Ten,Louisville,ACC,Neutral,Lynney Tarnow,MB,3,6,2,14,0,0,0,0.0,0,0,0,0,2,0,1,0.0,1.0,0.6826,1.1475,0.2857,0,4.0,1.0735,1.0896,0.9568,1.0,1.0,1.0,6.4409,1.0896,0.0,0.0,0.0,0.0,3.0,4.5305,5.1988,False
2026-2027,6603663,2026-08-22,Wisconsin,Big Ten,Louisville,ACC,Neutral,Eva Travis,OH,3,8,1,27,0,0,0,0.0,1,0,0,0,1,0,0,0.0,0.0,0.6826,1.1475,0.2593,0,7.75,1.0562,1.056,1.0,1.0,1.0,1.0564,8.4498,0.528,0.0,0.0,0.0,0.2641,1.0,8.2419,9.4577,False
2026-2027,6603663,2026-08-22,Louisville,ACC,Wisconsin,Big Ten,Neutral,Kalyssa Blackshear,OPP,3,10,0,19,0,0,0,0.0,1,0,0,0,0,0,0,0.0,0.0,0.6992,1.1607,0.5263,0,10.25,1.3741,1.0,1.0,1.0,1.0,1.0282,13.741,0.0,0.0,0.0,0.0,0.257,0.0,13.998,16.247,False
2026-2027,6603663,2026-08-22,Louisville,ACC,Wisconsin,Big Ten,Neutral,Brooke Bultema,MB,3,6,7,18,0,0,1,2.0,0,0,0,1,1,0,0,0.0,0.0,0.6992,1.1607,-0.0556,0,-0.5,0.6752,1.0896,1.0,0.595,1.0,1.0,4.0513,1.6343,0.0,0.0,0.0,0.0,8.0,-2.3144,-2.6862,False
2026-2027,6603663,2026-08-22,Louisville,ACC,Wisconsin,Big Ten,Neutral,Nayelis Cabello,S,3,2,0,9,26,0,1,9.0,6,0,0,0,1,0,0,0.0,80.0,0.6992,1.1607,0.2222,0,16.0,1.004,1.056,1.3239,0.7224,1.0,0.9819,2.0081,0.528,17.2108,0.0,0.0,1.4728,1.0,20.2197,23.4683,False
2026-2027,6603663,2026-08-22,Louisville,ACC,Wisconsin,Big Ten,Neutral,Chloe Chicoine,OH,3,10,2,29,1,1,1,9.0,9,9,2,0,0,0,0,0.0,3.0,0.6992,1.1607,0.2759,7,10.5,1.0801,1.0,0.9952,0.8159,0.9145,1.1343,10.8013,0.0,0.4976,0.8159,1.6004,2.5521,5.0,11.2673,13.0776,False
2026-2027,6603663,2026-08-22,Louisville,ACC,Wisconsin,Big Ten,Neutral,Hannah Kenny,S,3,0,0,0,2,0,0,10.0,7,21,2,0,0,0,0,0.0,4.0,0.6992,1.1607,0.0,19,5.5,1.0,1.0,1.0694,0.846,1.0555,0.814,0.0,0.0,1.0694,0.0,5.0136,1.4245,2.0,5.5074,6.3923,False
2026-2027,6603663,2026-08-22,Louisville,ACC,Wisconsin,Big Ten,Neutral,Chloe Meester,OH,3,9,4,29,1,0,3,13.0,2,7,0,0,1,0,0,0.0,2.0,0.6992,1.1607,0.1724,7,5.25,0.9379,1.056,1.0369,0.6166,0.8697,1.0761,8.4407,0.528,0.5184,0.0,1.522,0.538,7.0,4.5471,5.2777,False
2026-2027,6603663,2026-08-22,Louisville,ACC,Wisconsin,Big Ten,Neutral,Payton Petersen,OH,3,0,0,0,4,0,0,10.0,16,10,0,0,0,0,0,0.0,9.0,0.6992,1.1607,0.0,10,8.5,1.0,1.0,1.1856,0.7578,0.9561,1.0,0.0,0.0,2.3712,0.0,2.3902,3.9999,0.0,8.7613,10.1689,False
2026-2027,6603663,2026-08-22,Louisville,ACC,Wisconsin,Big Ten,Neutral,Kamden Schrand,L/DS,3,0,0,0,2,0,0,0.0,2,18,1,0,0,0,0,0.0,2.0,0.6992,1.1607,0.0,17,4.75,1.0,1.0,1.1574,1.0,1.083,1.0761,0.0,0.0,1.1574,0.0,4.6029,0.538,1.0,5.2983,6.1496,False
2026-2027,6603663,2026-08-22,Louisville,ACC,Wisconsin,Big Ten,Neutral,Hannah Sherman,MB,3,0,0,2,0,0,0,0.0,1,0,0,0,0,1,0,0.0,1.0,0.6992,1.1607,0.0,0,-0.75,0.9329,0.6222,0.9568,1.0,1.0,1.0282,0.0,0.0,0.0,0.0,0.0,0.257,1.0,-0.743,-0.8623,False
2026-2027,6603663,2026-08-22,Louisville,ACC,Wisconsin,Big Ten,Neutral,Jessica Drapp,L/DS,2,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0.0,0.0,0.6992,1.1607,0.0,0,0.0,1.0,1.0,1.0,0.9128,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2026-2027,6603663,2026-08-22,Louisville,ACC,Wisconsin,Big Ten,Neutral,Addison Makun,MB,2,1,0,1,0,0,0,0.0,1,0,0,0,1,0,0,0.0,2.0,0.6992,1.1607,1.0,0,1.75,1.1316,1.056,0.9164,1.0,1.0,0.9436,1.1316,0.528,0.0,0.0,0.0,0.2359,0.0,1.8955,2.2,False
2026-2027,6603663,2026-08-22,Louisville,ACC,Wisconsin,Big Ten,Neutral,Elli Strecker,MB,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0.6992,1.1607,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2026-2027,6603663,2026-08-22,Louisville,ACC,Wisconsin,Big Ten,Neutral,Blair Thiebaud,S,1,0,0,0,0,0,1,3.0,0,0,0,0,0,0,0,0.0,0.0,0.6992,1.1607,0.0,0,-1.0,1.0,1.0,1.0,0.8089,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.1607,False
2026-2027,6607974,2026-08-22,Texas,SEC,Arizona St.,Big 12,Neutral,Henley Anderson,OH,4,5,8,29,0,0,3,12.0,1,1,0,0,6,0,0,0.0,0.0,0.7174,1.1751,-0.1034,1,-2.5,0.5585,1.1493,1.0,0.8178,1.0405,1.0282,2.7923,3.4478,0.0,0.0,0.2601,0.257,11.0,-4.2427,-4.9854,False
2026-2027,6607974,2026-08-22,Texas,SEC,Arizona St.,Big 12,Neutral,Rella Binney,S,4,0,1,1,22,0,1,16.0,4,0,0,0,0,0,0,0.0,59.0,0.7174,1.1751,-1.0,0,10.0,0.7953,1.0,1.1528,0.7755,1.0,0.8309,0.0,0.0,12.6809,0.0,0.0,0.8309,2.0,11.5118,13.527,False
2026-2027,6607974,2026-08-22,Texas,SEC,Arizona St.,Big 12,Neutral,Nya Bunton,MB,4,9,3,16,1,0,0,0.0,0,0,0,1,7,0,0,0.0,1.0,0.7174,1.1751,0.375,0,11.0,1.1792,1.1628,1.0812,1.0,1.0,1.0,10.6124,5.2328,0.5406,0.0,0.0,0.0,3.0,13.3858,15.7291,False
2026-2027,6607974,2026-08-22,Texas,SEC,Arizona St.,Big 12,Neutral,Ramsey Gary,L,4,1,0,1,3,0,0,7.0,14,24,0,0,0,0,0,0.0,14.0,0.7174,1.1751,1.0,24,12.0,1.1316,1.0,1.0124,0.9554,0.956,1.0922,1.1316,0.0,1.5187,0.0,5.7357,3.8227,0.0,12.2086,14.3458,False
2026-2027,6607974,2026-08-22,Texas,SEC,Arizona St.,Big 12,Neutral,Genevieve Harris,S,4,0,0,0,8,2,2,13.0,7,0,0,0,0,0,0,0.0,56.0,0.7174,1.1751,0.0,0,5.75,1.0,1.0,0.6668,0.9949,1.0,0.7632,0.0,0.0,2.6671,1.9898,0.0,1.3357,2.0,3.9926,4.6915,False
2026-2027,6607974,2026-08-22,Texas,SEC,Arizona St.,Big 12,Neutral,Taylor Harvey,MB,4,3,2,18,1,0,0,0.0,0,0,0,0,6,0,0,0.0,3.0,0.7174,1.1751,0.0556,0,4.5,0.8073,1.1493,0.8784,1.0,1.0,1.0,2.422,3.4478,0.4392,0.0,0.0,0.0,2.0,4.309,5.0633,False
2026-2027,6607974,2026-08-22,Texas,SEC,Arizona St.,Big 12,Neutral,Cari Spears,OH,4,9,4,23,0,0,1,3.0,1,1,0,0,2,0,0,0.0,0.0,0.7174,1.1751,0.2174,1,5.5,0.9997,1.0896,1.0,0.52,0.8326,1.0282,8.9976,1.0896,0.0,0.0,0.2082,0.257,5.0,5.5524,6.5243,False
2026-2027,6607974,2026-08-22,Texas,SEC,Arizona St.,Big 12,Neutral,Torrey Stafford,OH,4,9,4,29,2,1,4,13.0,7,35,3,0,2,0,0,0.0,5.0,0.7174,1.1751,0.1724,32,10.75,0.9379,1.0896,1.0292,0.5409,0.7589,0.9831,8.4407,1.0896,1.0292,0.5409,6.0711,1.7204,11.0,7.8918,9.2733,False
2026-2027,6607974,2026-08-22,Texas,SEC,Arizona St.,Big 12,Neutral,Abby Vander Wal,OH,4,2,7,22,0,0,6,13.0,4,22,2,0,3,0,0,0.0,3.0,0.7174,1.1751,-0.2273,20,-5.5,0.4343,1.112,0.8784,0.3139,1.1447,1.0211,0.8686,1.6679,0.0,0.0,5.7236,1.0211,15.0,-5.7187,-6.7199,False
2026-2027,6607974,2026-08-22,Texas,SEC,Arizona St.,Big 12,Neutral,Callie Krueger,L/DS,2,0,0,0,0,0,0,1.0,2,2,0,0,0,0,0,0.0,0.0,0.7174,1.1751,0.0,2,1.0,1.0,1.0,1.0,1.0398,1.1378,1.1014,0.0,0.0,0.0,0.0,0.5689,0.5507,0.0,1.1196,1.3156,False
2026-2027,6607974,2026-08-22,Arizona St.,Big 12,Texas,SEC,Neutral,Zoey Burgess,MB,4,1,2,5,0,0,0,0.0,1,0,0,0,5,0,0,0.0,0.0,0.7373,1.1909,-0.2,0,1.75,0.7425,1.1399,1.0,1.0,1.0,0.9436,0.7425,2.8499,0.0,0.0,0.0,0.2359,2.0,1.8283,2.1773,False
2026-2027,6607974,2026-08-22,Arizona St.,Big 12,Texas,SEC,Neutral,Faith Frame,L/DS,4,0,0,0,5,0,0,0.0,15,15,0,0,0,0,0,0.0,9.0,0.7373,1.1909,0.0,15,10.0,1.0,1.0,1.2845,1.0,1.115,1.1213,0.0,0.0,3.2111,0.0,4.1812,4.2048,0.0,11.5972,13.8107,False
2026-2027,6607974,2026-08-22,Arizona St.,Big 12,Texas,SEC,Neutral,Noemie Glover,OPP,4,13,9,37,0,0,0,0.0,10,0,0,0,7,0,0,0.0,2.0,0.7373,1.1909,0.1081,0,10.0,0.8406,1.1567,0.9164,1.0,1.0,0.8872,10.9275,4.0486,0.0,0.0,0.0,2.2181,9.0,8.1942,9.7582,False
2026-2027,6607974,2026-08-22,Arizona St.,Big 12,Texas,SEC,Neutral,Ella Lomigora,MB,4,3,2,11,0,0,0,0.0,2,0,0,0,8,0,0,0.0,1.0,0.7373,1.1909,0.0909,0,5.5,0.8773,1.1628,0.9568,1.0,1.0,0.8985,2.6318,4.6514,0.0,0.0,0.0,0.4493,2.0,5.7324,6.8266,False
2026-2027,6607974,2026-08-22,Arizona St.,Big 12,Texas,SEC,Neutral,Elle Mottola,S,4,4,1,8,31,1,3,18.0,7,1,0,0,4,0,0,0.0,96.0,0.7373,1.1909,0.375,1,20.5,1.1294,1.128,1.2659,1.1871,1.1098,0.9662,4.5176,2.2559,19.6212,1.1871,0.2775,1.6908,4.0,25.5499,30.4266,False
2026-2027,6607974,2026-08-22,Arizona St.,Big 12,Texas,SEC,Neutral,Jillian Neal,OH,4,0,0,0,2,0,3,14.0,1,0,0,0,0,0,0,0.0,2.0,0.7373,1.1909,0.0,0,-1.75,1.0,1.0,1.1574,0.5781,1.0,1.0564,0.0,0.0,1.1574,0.0,0.0,0.2641,3.0,-1.5785,-1.8798,False
2026-2027,6607974,2026-08-22,Arizona St.,Big 12,Texas,SEC,Neutral,Piper Rama,L/DS,4,0,0,0,1,2,0,17.0,2,0,0,0,0,0,0,0.0,1.0,0.7373,1.1909,0.0,0,3.0,1.0,1.0,1.0812,1.6251,1.0,0.8985,0.0,0.0,0.5406,3.2502,0.0,0.4493,0.0,4.2401,5.0494,False
2026-2027,6607974,2026-08-22,Arizona St.,Big 12,Texas,SEC,Neutral,Maeva Schalk,OH,4,10,9,31,1,2,0,22.0,8,21,0,0,0,0,0,0.0,4.0,0.7373,1.1909,0.0323,21,10.75,0.7408,1.0,0.956,1.3158,1.0069,0.9841,7.4081,0.0,0.478,2.6317,5.2862,1.9682,9.0,8.7723,10.4466,False
2026-2027,6607974,2026-08-22,Arizona St.,Big 12,Texas,SEC,Neutral,Una Vajagic,OH,4,12,5,30,3,0,1,13.0,9,22,1,0,2,1,0,0.0,7.0,0.7373,1.1909,0.2333,21,14.0,1.0218,0.6782,1.1637,0.8436,0.7119,0.9105,12.2619,0.6782,1.7456,0.0,3.7373,2.0485,8.0,12.4715,14.8518,False
2026-2027,6607974,2026-08-22,Arizona St.,Big 12,Texas,SEC,Neutral,Isabella Costantini,S,3,0,0,0,0,0,1,5.0,2,0,0,0,0,0,0,0.0,0.0,0.7373,1.1909,0.0,0,-0.5,1.0,1.0,1.0,0.649,1.0,0.8985,0.0,0.0,0.0,0.0,0.0,0.4493,1.0,-0.5507,-0.6558,False
2026-2027,6607974,2026-08-22,Arizona St.,Big 12,Texas,SEC,Neutral,Ella Lewis,OH,2,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0.7373,1.1909,0.0,0,0.0,1.0,1.0,1.0,0.7222,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
