Season,Date,ContestID,Team,Conference,Opponent Team,Opponent Conference,Location,Number,Player,P,S,Kills,Errors,TotalAttacks,HitPct,Assists,Aces,SErr,Digs,RetAtt,RErr,BlockSolos,BlockAssists,BErr,PTS,BHE,SetErr,SetAtt,ServeAtt,TotalBlocks
2026-2027,2026-08-28,6583616,Indiana,Big Ten,Louisville,ACC,Neutral,27,Ella Boersema,MB,3,7,8,19,-0.053,1,0,1,1,0,0,0,1,0,7.5,0,0.0,2.0,7.0,1
2026-2027,2026-08-28,6583616,Indiana,Big Ten,Louisville,ACC,Neutral,77,Keondreya Granberry,MB,3,3,3,13,0.0,0,0,0,4,1,1,2,1,0,5.5,0,0.0,2.0,3.0,3
2026-2027,2026-08-28,6583616,Indiana,Big Ten,Louisville,ACC,Neutral,23,Victoria Gray,MB,3,5,2,13,0.231,0,0,0,1,1,0,0,2,0,6.0,0,0.0,0.0,0.0,2
2026-2027,2026-08-28,6583616,Indiana,Big Ten,Louisville,ACC,Neutral,5,Audrey Jackson,DS,3,0,0,0,0.0,0,0,0,2,13,0,0,0,0,0.0,0,0.0,0.0,0.0,0
2026-2027,2026-08-28,6583616,Indiana,Big Ten,Louisville,ACC,Neutral,24,Jaidyn Jager,OH,3,7,8,31,-0.032,0,0,3,4,22,3,0,1,1,7.5,0,0.0,3.0,5.0,1
2026-2027,2026-08-28,6583616,Indiana,Big Ten,Louisville,ACC,Neutral,12,Teodora Kričković,S,3,0,1,5,-0.2,22,0,0,4,1,0,0,2,0,1.0,0,0.0,74.0,10.0,2
2026-2027,2026-08-28,6583616,Indiana,Big Ten,Louisville,ACC,Neutral,7,Hannah Leftridge,DS,3,0,0,0,0.0,1,0,1,5,21,2,0,0,0,0.0,0,0.0,4.0,6.0,0
2026-2027,2026-08-28,6583616,Indiana,Big Ten,Louisville,ACC,Neutral,14,Emma Segal,DS,3,0,0,0,0.0,0,0,0,3,0,0,0,0,0,0.0,0,0.0,1.0,2.0,0
2026-2027,2026-08-28,6583616,Indiana,Big Ten,Louisville,ACC,Neutral,1,Sara Snowbarger,OH,3,2,0,7,0.286,0,0,0,1,8,1,1,1,0,3.5,0,0.0,3.0,8.0,2
2026-2027,2026-08-28,6583616,Indiana,Big Ten,Louisville,ACC,Neutral,2,Avery Freeman,DS,2,0,0,0,0.0,1,0,2,0,0,0,0,0,0,0.0,0,0.0,1.0,4.0,0
2026-2027,2026-08-28,6583616,Indiana,Big Ten,Louisville,ACC,Neutral,18,Avery Daum,OH,1,2,0,4,0.5,0,0,0,1,0,0,0,0,0,2.0,0,0.0,0.0,0.0,0
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,24,Kalyssa Blackshear,OPP,3,9,2,21,0.333,0,0,0,1,0,0,0,4,0,11.0,0,0.0,0.0,0.0,4
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,44,Brooke Bultema,MB,3,0,1,3,-0.333,0,0,0,0,0,0,0,2,0,1.0,0,0.0,0.0,2.0,2
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,8,Nayelis Cabello,S,3,3,0,4,0.75,26,1,2,6,0,0,0,1,0,4.5,0,0.0,58.0,10.0,1
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,7,Chloe Chicoine,OH,3,11,2,22,0.409,0,0,0,7,10,0,1,2,0,13.0,0,0.0,0.0,7.0,3
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,6,Hannah Kenny,S,3,0,0,0,0.0,2,1,1,4,2,0,0,0,0,1.0,0,0.0,2.0,8.0,0
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,2,Chloe Meester,OH,3,10,3,20,0.35,0,3,2,1,7,0,0,0,0,13.0,0,0.0,0.0,21.0,0
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,21,Payton Petersen,L,3,0,0,0,0.0,6,1,0,9,9,0,0,0,0,1.0,0,0.0,9.0,19.0,0
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,3,Kamden Schrand,L/DS,3,0,0,0,0.0,0,0,0,7,10,0,0,0,0,0.0,0,0.0,3.0,0.0,0
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,11,Hannah Sherman,MB,3,2,1,4,0.25,0,0,0,0,0,0,1,4,0,5.0,0,0.0,1.0,0.0,5
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,22,Blair Thiebaud,S,3,1,1,2,0.0,3,1,1,1,0,0,0,1,0,2.5,0,0.0,7.0,4.0,1
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,10,Elsi Karjanlahti,L/DS,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,1.0,0
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,4,Addison Makun,MB,1,1,1,2,0.0,0,0,0,0,0,0,0,0,0,1.0,0,,,,0
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,54,Elli Strecker,MB,1,2,0,3,0.667,0,0,0,0,0,0,0,2,0,3.0,0,,,,2
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,17,Molly Urban,L/DS,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,1.0,0
2026-2027,2026-09-01,6583617,Georgia,SEC,Indiana,Big Ten,Neutral,5,Gigi Artiles,OH,4,11,7,29,0.138,1,2,3,8,2,0,0,3,1,14.5,0,0.0,2.0,15.0,3
2026-2027,2026-09-01,6583617,Georgia,SEC,Indiana,Big Ten,Neutral,9,Ana Julia Bleeker,L/DS,4,0,0,0,0.0,1,0,3,7,21,0,0,0,0,0.0,0,0.0,10.0,18.0,0
2026-2027,2026-09-01,6583617,Georgia,SEC,Indiana,Big Ten,Neutral,12,Chloe Elarton,S,4,1,0,3,0.333,36,0,1,9,0,0,0,2,1,2.0,0,0.0,89.0,10.0,2
2026-2027,2026-09-01,6583617,Georgia,SEC,Indiana,Big Ten,Neutral,11,Kendal Kemp,MB,4,2,1,7,0.143,0,0,0,1,1,0,0,8,3,6.0,0,0.0,0.0,0.0,8
2026-2027,2026-09-01,6583617,Georgia,SEC,Indiana,Big Ten,Neutral,13,Bianna Muoneke,OH,4,22,5,55,0.309,4,1,1,9,14,0,0,1,0,23.5,1,0.0,6.0,13.0,1
2026-2027,2026-09-01,6583617,Georgia,SEC,Indiana,Big Ten,Neutral,4,Kaiya Tyson,S,4,1,0,2,0.5,0,0,0,2,0,0,0,3,0,2.5,0,0.0,8.0,0.0,3
2026-2027,2026-09-01,6583617,Georgia,SEC,Indiana,Big Ten,Neutral,39,Alyssa Worden,OH,4,6,6,24,0.0,1,0,3,11,45,5,0,0,0,6.0,0,0.0,1.0,12.0,0
2026-2027,2026-09-01,6583617,Georgia,SEC,Indiana,Big Ten,Neutral,1,Tori Harper,MB,3,4,0,6,0.667,0,2,2,1,0,0,0,2,0,7.0,0,0.0,0.0,15.0,2
2026-2027,2026-09-01,6583617,Georgia,SEC,Indiana,Big Ten,Neutral,14,Emma Bryson,MB,2,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,5.0,0
2026-2027,2026-09-01,6583617,Georgia,SEC,Indiana,Big Ten,Neutral,15,Marin Collins,OH,1,0,0,0,0.0,0,0,0,0,3,0,0,1,0,0.5,0,0.0,0.0,1.0,1
2026-2027,2026-09-01,6583617,Indiana,Big Ten,Georgia,SEC,Neutral,27,Ella Boersema,MB,4,12,0,18,0.667,0,1,2,4,0,0,0,0,0,13.0,0,0.0,0.0,6.0,0
2026-2027,2026-09-01,6583617,Indiana,Big Ten,Georgia,SEC,Neutral,77,Keondreya Granberry,MB,4,8,6,18,0.111,0,2,3,3,2,0,0,4,1,12.0,0,0.0,0.0,17.0,4
2026-2027,2026-09-01,6583617,Indiana,Big Ten,Georgia,SEC,Neutral,23,Victoria Gray,MB,4,7,2,17,0.294,0,0,0,1,0,0,0,1,0,7.5,0,0.0,0.0,0.0,1
2026-2027,2026-09-01,6583617,Indiana,Big Ten,Georgia,SEC,Neutral,5,Audrey Jackson,DS,4,0,1,1,-1.0,3,0,0,6,12,0,0,0,0,0.0,0,0.0,5.0,0.0,0
2026-2027,2026-09-01,6583617,Indiana,Big Ten,Georgia,SEC,Neutral,24,Jaidyn Jager,OH,4,19,7,50,0.24,1,0,1,8,28,3,1,2,0,21.0,0,0.0,4.0,16.0,3
2026-2027,2026-09-01,6583617,Indiana,Big Ten,Georgia,SEC,Neutral,12,Teodora Kričković,S,4,3,1,6,0.333,50,0,1,6,0,0,0,2,0,4.0,0,0.0,108.0,17.0,2
2026-2027,2026-09-01,6583617,Indiana,Big Ten,Georgia,SEC,Neutral,7,Hannah Leftridge,DS,4,0,1,2,-0.5,3,2,1,17,22,1,0,0,0,2.0,0,0.0,14.0,15.0,0
2026-2027,2026-09-01,6583617,Indiana,Big Ten,Georgia,SEC,Neutral,14,Emma Segal,DS,4,0,0,0,0.0,0,1,1,3,0,0,0,0,0,1.0,0,0.0,0.0,11.0,0
2026-2027,2026-09-01,6583617,Indiana,Big Ten,Georgia,SEC,Neutral,1,Sara Snowbarger,OH,4,10,6,27,0.148,1,0,1,7,12,1,0,1,0,10.5,0,0.0,5.0,15.0,1
2026-2027,2026-09-02,6583618,Texas A&M,SEC,Indiana,Big Ten,Neutral,2,Addi Applegate,L/DS,5,0,0,0,0.0,1,0,1,7,25,2,0,0,0,0.0,0,0.0,2.0,11.0,0
2026-2027,2026-09-02,6583618,Texas A&M,SEC,Indiana,Big Ten,Neutral,19,Kaia Castle,MB,5,1,0,11,0.091,1,2,0,0,1,0,0,4,1,5.0,0,0.0,3.0,7.0,4
2026-2027,2026-09-02,6583618,Texas A&M,SEC,Indiana,Big Ten,Neutral,20,Megan Fitch,OH,5,10,5,32,0.156,3,0,1,7,22,0,0,1,0,10.5,0,0.0,5.0,17.0,1
2026-2027,2026-09-02,6583618,Texas A&M,SEC,Indiana,Big Ten,Neutral,6,Taryn Morris,OPP,5,6,6,19,0.0,0,0,1,0,0,0,0,4,0,8.0,0,0.0,1.0,2.0,4
2026-2027,2026-09-02,6583618,Texas A&M,SEC,Indiana,Big Ten,Neutral,14,Kirra Musgrove,S,5,4,1,8,0.375,27,1,4,3,0,0,0,4,0,7.0,1,0.0,70.0,25.0,4
2026-2027,2026-09-02,6583618,Texas A&M,SEC,Indiana,Big Ten,Neutral,12,Lily Nicholson,S,5,1,0,1,1.0,21,0,0,4,0,0,0,0,0,1.0,1,0.0,47.0,0.0,0
2026-2027,2026-09-02,6583618,Texas A&M,SEC,Indiana,Big Ten,Neutral,1,Gabi Rodriguez,L,5,0,0,1,0.0,3,0,1,12,20,4,0,0,0,0.0,0,0.0,15.0,21.0,0
2026-2027,2026-09-02,6583618,Texas A&M,SEC,Indiana,Big Ten,Neutral,25,Eliza Sharp,MB,5,10,3,17,0.412,0,0,0,0,1,0,0,8,0,14.0,0,0.0,2.0,0.0,8
2026-2027,2026-09-02,6583618,Texas A&M,SEC,Indiana,Big Ten,Neutral,37,Kyndal Stowers,OH,5,29,9,63,0.317,2,2,2,11,31,2,2,3,0,34.5,0,0.0,6.0,14.0,5
2026-2027,2026-09-02,6583618,Texas A&M,SEC,Indiana,Big Ten,Neutral,4,Brooke Lacewell,OPP,4,0,0,0,0.0,0,1,0,3,0,0,0,0,0,1.0,0,0.0,0.0,7.0,0
2026-2027,2026-09-02,6583618,Texas A&M,SEC,Indiana,Big Ten,Neutral,17,Natalie Ring,OH,3,1,1,5,0.0,0,0,0,1,3,0,0,1,0,1.5,0,0.0,0.0,5.0,1
2026-2027,2026-09-02,6583618,Texas A&M,SEC,Indiana,Big Ten,Neutral,7,Djurdja Stanojevic,MB,1,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0.5,0,,,,1
2026-2027,2026-09-02,6583618,Indiana,Big Ten,Texas A&M,SEC,Neutral,27,Ella Boersema,MB,5,21,5,34,0.471,1,0,1,3,0,0,0,6,0,24.0,0,0.0,1.0,1.0,6
2026-2027,2026-09-02,6583618,Indiana,Big Ten,Texas A&M,SEC,Neutral,77,Keondreya Granberry,MB,5,6,5,20,0.05,2,0,1,2,0,0,0,7,0,9.5,0,0.0,3.0,10.0,7
2026-2027,2026-09-02,6583618,Indiana,Big Ten,Texas A&M,SEC,Neutral,23,Victoria Gray,MB,5,5,4,14,0.071,0,0,0,0,0,0,1,3,0,7.5,0,0.0,3.0,0.0,4
2026-2027,2026-09-02,6583618,Indiana,Big Ten,Texas A&M,SEC,Neutral,5,Audrey Jackson,DS,5,0,0,1,0.0,2,0,0,5,23,0,0,0,0,0.0,0,0.0,3.0,0.0,0
2026-2027,2026-09-02,6583618,Indiana,Big Ten,Texas A&M,SEC,Neutral,24,Jaidyn Jager,OH,5,17,12,56,0.089,4,2,0,11,40,3,1,3,0,21.5,0,0.0,7.0,22.0,4
2026-2027,2026-09-02,6583618,Indiana,Big Ten,Texas A&M,SEC,Neutral,12,Teodora Kričković,S,5,7,2,14,0.357,45,2,2,10,0,0,0,0,0,9.0,0,0.0,116.0,25.0,0
2026-2027,2026-09-02,6583618,Indiana,Big Ten,Texas A&M,SEC,Neutral,7,Hannah Leftridge,DS,5,1,0,1,1.0,5,1,1,16,16,3,0,0,0,2.0,0,0.0,15.0,16.0,0
2026-2027,2026-09-02,6583618,Indiana,Big Ten,Texas A&M,SEC,Neutral,14,Emma Segal,DS,5,0,0,0,0.0,0,3,1,3,0,0,0,0,0,3.0,0,0.0,0.0,16.0,0
2026-2027,2026-09-02,6583618,Indiana,Big Ten,Texas A&M,SEC,Neutral,1,Sara Snowbarger,OH,5,6,7,25,-0.04,0,0,0,9,19,0,0,1,0,6.5,0,0.0,2.0,11.0,1
2026-2027,2026-09-02,6583618,Indiana,Big Ten,Texas A&M,SEC,Neutral,15,Sade Ilawole,S,3,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0.0,1.0,6.0,0
2026-2027,2026-09-02,6583618,Indiana,Big Ten,Texas A&M,SEC,Neutral,2,Avery Freeman,DS,2,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,1.0,2.0,0
2026-2027,2026-08-28,6583690,Western Caro.,SoCon,Butler,Big East,Neutral,18,Katie Boney,S,5,3,0,10,0.3,39,2,2,13,0,0,0,4,0,7.0,0,0.0,133.0,22.0,4
2026-2027,2026-08-28,6583690,Western Caro.,SoCon,Butler,Big East,Neutral,1,Ashlyn Cobb,OH,5,13,4,34,0.265,0,1,6,13,39,1,0,2,0,15.0,0,0.0,3.0,16.0,2
2026-2027,2026-08-28,6583690,Western Caro.,SoCon,Butler,Big East,Neutral,6,Elise Gurley,L,5,0,0,3,0.0,6,0,2,17,19,1,0,0,0,0.0,0,0.0,25.0,11.0,0
2026-2027,2026-08-28,6583690,Western Caro.,SoCon,Butler,Big East,Neutral,15,Samantha Kranzler,OH,5,9,9,32,0.0,0,1,2,8,25,1,2,0,1,12.0,0,0.0,4.0,20.0,2
2026-2027,2026-08-28,6583690,Western Caro.,SoCon,Butler,Big East,Neutral,12,Tatum Sharp,MB,5,6,3,26,0.115,0,1,3,1,2,0,0,3,0,8.5,0,0.0,4.0,15.0,3
2026-2027,2026-08-28,6583690,Western Caro.,SoCon,Butler,Big East,Neutral,2,Halley Tang,L,5,0,1,2,-0.5,1,1,2,8,6,0,0,0,0,1.0,0,0.0,4.0,20.0,0
2026-2027,2026-08-28,6583690,Western Caro.,SoCon,Butler,Big East,Neutral,22,Zoe Zudans,OH,5,12,5,45,0.156,0,0,0,4,0,0,1,2,0,14.0,0,0.0,2.0,0.0,3
2026-2027,2026-08-28,6583690,Western Caro.,SoCon,Butler,Big East,Neutral,7,Aiyana Harris,MB,4,6,3,17,0.176,0,0,0,2,0,0,1,5,0,9.5,0,0.0,1.0,0.0,6
2026-2027,2026-08-28,6583690,Western Caro.,SoCon,Butler,Big East,Neutral,9,Danielle Wheat,S,2,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0.0,2.0,0
2026-2027,2026-08-28,6583690,Western Caro.,SoCon,Butler,Big East,Neutral,20,Eda Yalçinkaya,L,2,0,0,0,0.0,0,0,0,1,2,0,0,0,0,0.0,0,0.0,0.0,0.0,0
2026-2027,2026-08-28,6583690,Western Caro.,SoCon,Butler,Big East,Neutral,3,Brookelynn Nance,MB,1,3,2,7,0.143,0,0,0,1,0,0,0,0,0,3.0,0,0.0,0.0,0.0,0
2026-2027,2026-08-28,6583690,Western Caro.,SoCon,Butler,Big East,Neutral,10,Peri Subat,OH,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,1.0,0
2026-2027,2026-08-28,6583690,Butler,Big East,Western Caro.,SoCon,Neutral,8,Raegan Durbin,OH,5,16,7,49,0.184,0,0,1,11,25,0,0,1,1,16.5,0,0.0,4.0,10.0,1
2026-2027,2026-08-28,6583690,Butler,Big East,Western Caro.,SoCon,Neutral,4,Ava Hunter,S,5,0,0,1,0.0,23,0,2,9,0,0,0,0,0,0.0,0,0.0,71.0,15.0,0
2026-2027,2026-08-28,6583690,Butler,Big East,Western Caro.,SoCon,Neutral,11,Sawyer Jones,OH,5,10,7,29,0.103,0,0,0,3,0,0,0,9,1,14.5,0,0.0,3.0,0.0,9
2026-2027,2026-08-28,6583690,Butler,Big East,Western Caro.,SoCon,Neutral,1,Sarah Kempf,S,5,0,0,5,0.0,19,0,1,6,0,0,0,0,0,0.0,0,0.0,50.0,18.0,0
2026-2027,2026-08-28,6583690,Butler,Big East,Western Caro.,SoCon,Neutral,5,Jersey Loyer,DS,5,0,0,3,0.0,8,0,2,17,17,0,0,0,0,0.0,0,0.0,21.0,25.0,0
2026-2027,2026-08-28,6583690,Butler,Big East,Western Caro.,SoCon,Neutral,17,Zoe McDonald,MB,5,9,4,17,0.294,0,1,2,3,0,0,0,7,1,13.5,0,0.0,4.0,8.0,7
2026-2027,2026-08-28,6583690,Butler,Big East,Western Caro.,SoCon,Neutral,10,Maria Nix,OH,5,8,2,16,0.375,1,0,0,1,0,0,0,0,2,8.0,0,0.0,6.0,0.0,0
2026-2027,2026-08-28,6583690,Butler,Big East,Western Caro.,SoCon,Neutral,13,Carly Slusser,MB,5,4,2,12,0.167,0,0,2,1,1,0,0,5,0,6.5,0,0.0,3.0,4.0,5
2026-2027,2026-08-28,6583690,Butler,Big East,Western Caro.,SoCon,Neutral,16,Elise Ward,OH,5,9,5,32,0.125,0,2,3,21,39,0,1,2,0,13.0,0,0.0,3.0,25.0,3
2026-2027,2026-08-28,6583690,Butler,Big East,Western Caro.,SoCon,Neutral,3,Chase Lemming,OH,1,0,1,1,-1.0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,0.0,0.0,0
2026-2027,2026-08-28,6583690,Butler,Big East,Western Caro.,SoCon,Neutral,18,Marin Thaxton,DS,1,0,0,0,0.0,0,1,1,0,0,0,0,0,0,1.0,0,0.0,0.0,3.0,0
2026-2027,2026-08-29,6583694,Western Caro.,SoCon,Charleston So.,Big South,Neutral,18,Katie Boney,S,5,0,1,8,-0.125,43,1,2,10,0,0,0,2,0,2.0,0,0.0,148.0,14.0,2
2026-2027,2026-08-29,6583694,Western Caro.,SoCon,Charleston So.,Big South,Neutral,1,Ashlyn Cobb,OH,5,7,7,23,0.0,0,5,2,17,38,2,0,0,0,12.0,0,0.0,3.0,19.0,0
2026-2027,2026-08-29,6583694,Western Caro.,SoCon,Charleston So.,Big South,Neutral,6,Elise Gurley,L,5,0,0,0,0.0,5,0,2,19,16,1,0,0,0,0.0,0,0.0,19.0,7.0,0
2026-2027,2026-08-29,6583694,Western Caro.,SoCon,Charleston So.,Big South,Neutral,7,Aiyana Harris,MB,5,9,5,19,0.211,0,0,0,0,0,0,1,2,2,11.0,0,0.0,1.0,0.0,3
2026-2027,2026-08-29,6583694,Western Caro.,SoCon,Charleston So.,Big South,Neutral,15,Samantha Kranzler,OH,5,8,4,37,0.108,0,3,2,14,31,2,0,4,0,13.0,0,0.0,3.0,19.0,4
2026-2027,2026-08-29,6583694,Western Caro.,SoCon,Charleston So.,Big South,Neutral,12,Tatum Sharp,MB,5,10,4,33,0.182,0,0,3,1,0,0,0,6,0,13.0,0,0.0,0.0,12.0,6
2026-2027,2026-08-29,6583694,Western Caro.,SoCon,Charleston So.,Big South,Neutral,2,Halley Tang,L,5,0,0,0,0.0,0,1,0,8,12,2,0,0,0,1.0,0,0.0,2.0,19.0,0
2026-2027,2026-08-29,6583694,Western Caro.,SoCon,Charleston So.,Big South,Neutral,22,Zoe Zudans,OH,5,11,3,51,0.157,0,0,0,1,4,0,0,1,0,11.5,0,0.0,5.0,0.0,1
2026-2027,2026-08-29,6583694,Western Caro.,SoCon,Charleston So.,Big South,Neutral,17,Evelyn Keefer,L,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2.0,6.0,0
2026-2027,2026-08-29,6583694,Western Caro.,SoCon,Charleston So.,Big South,Neutral,16,Sophia Marini,OH,3,4,1,9,0.333,0,0,0,0,0,0,0,1,0,4.5,0,,,,1
2026-2027,2026-08-29,6583694,Western Caro.,SoCon,Charleston So.,Big South,Neutral,9,Danielle Wheat,S,3,0,0,0,0.0,0,1,0,1,0,0,0,0,0,1.0,0,0.0,0.0,3.0,0
2026-2027,2026-08-29,6583694,Western Caro.,SoCon,Charleston So.,Big South,Neutral,20,Eda Yalçinkaya,L,1,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,0.0,0.0,0
2026-2027,2026-08-29,6583694,Charleston So.,Big South,Western Caro.,SoCon,Neutral,20,Surima Akat,OH,5,12,4,29,0.276,0,0,0,5,6,2,0,2,0,13.0,0,0.0,2.0,0.0,2
2026-2027,2026-08-29,6583694,Charleston So.,Big South,Western Caro.,SoCon,Neutral,14,Faith Burch,OH,5,18,6,43,0.279,0,0,1,1,3,3,1,1,0,19.5,0,0.0,1.0,3.0,2
2026-2027,2026-08-29,6583694,Charleston So.,Big South,Western Caro.,SoCon,Neutral,11,Dillia Lowry,MB,5,15,1,22,0.636,0,0,2,2,0,0,0,1,0,15.5,0,0.0,4.0,7.0,1
2026-2027,2026-08-29,6583694,Charleston So.,Big South,Western Caro.,SoCon,Neutral,6,Brynn Minter,OH,5,13,5,50,0.16,2,2,2,13,34,1,0,5,0,17.5,1,0.0,13.0,16.0,5
2026-2027,2026-08-29,6583694,Charleston So.,Big South,Western Caro.,SoCon,Neutral,4,Presley Morris,L/DS,5,0,0,2,0.0,5,1,0,30,23,3,0,0,0,1.0,0,0.0,17.0,16.0,0
2026-2027,2026-08-29,6583694,Charleston So.,Big South,Western Caro.,SoCon,Neutral,5,Tristin Sutton,S,5,3,0,6,0.5,42,1,0,16,1,0,1,0,0,5.0,0,0.0,107.0,21.0,1
2026-2027,2026-08-29,6583694,Charleston So.,Big South,Western Caro.,SoCon,Neutral,17,Adeline Wieler,L/DS,5,0,0,1,0.0,5,3,2,10,13,0,0,0,0,3.0,0,0.0,12.0,29.0,0
2026-2027,2026-08-29,6583694,Charleston So.,Big South,Western Caro.,SoCon,Neutral,15,Kylee Roberts,MB,4,2,2,11,0.0,0,0,0,6,0,0,3,5,2,7.5,0,0.0,1.0,12.0,8
2026-2027,2026-08-29,6583694,Charleston So.,Big South,Western Caro.,SoCon,Neutral,8,Naya Martinez,DS,3,0,0,0,0.0,0,0,1,2,6,0,0,0,0,0.0,0,0.0,3.0,3.0,0
2026-2027,2026-08-29,6583694,Charleston So.,Big South,Western Caro.,SoCon,Neutral,3,Jenna Kitchens,OPP,2,2,4,9,-0.222,0,0,0,0,0,0,0,0,0,2.0,0,,,,0
2026-2027,2026-08-29,6583694,Charleston So.,Big South,Western Caro.,SoCon,Neutral,13,Cara McLean,S,2,0,0,1,0.0,7,0,0,4,0,0,0,0,0,0.0,0,0.0,24.0,3.0,0
2026-2027,2026-08-29,6583694,Charleston So.,Big South,Western Caro.,SoCon,Neutral,7,Grace Smith,MB,1,1,2,5,-0.2,0,0,0,1,0,0,0,2,0,2.0,0,0.0,0.0,0.0,2
2026-2027,2026-08-30,6583696,Western Caro.,SoCon,Clemson,ACC,Neutral,18,Katie Boney,S,4,3,0,6,0.5,32,1,0,8,1,0,1,3,0,6.5,0,0.0,111.0,13.0,4
2026-2027,2026-08-30,6583696,Western Caro.,SoCon,Clemson,ACC,Neutral,1,Ashlyn Cobb,OH,4,6,4,20,0.1,2,2,3,14,40,2,0,1,1,8.5,0,0.0,8.0,14.0,1
2026-2027,2026-08-30,6583696,Western Caro.,SoCon,Clemson,ACC,Neutral,6,Elise Gurley,L,4,0,0,1,0.0,2,0,0,15,16,1,0,0,0,0.0,0,0.0,8.0,0.0,0
2026-2027,2026-08-30,6583696,Western Caro.,SoCon,Clemson,ACC,Neutral,7,Aiyana Harris,MB,4,8,4,18,0.222,0,0,0,0,1,0,0,2,1,9.0,0,0.0,1.0,0.0,2
2026-2027,2026-08-30,6583696,Western Caro.,SoCon,Clemson,ACC,Neutral,17,Evelyn Keefer,L,4,0,0,0,0.0,0,1,3,3,0,0,0,0,0,1.0,0,0.0,0.0,16.0,0
2026-2027,2026-08-30,6583696,Western Caro.,SoCon,Clemson,ACC,Neutral,12,Tatum Sharp,MB,4,10,7,30,0.1,0,0,3,2,1,0,0,6,0,13.0,0,0.0,2.0,21.0,6
2026-2027,2026-08-30,6583696,Western Caro.,SoCon,Clemson,ACC,Neutral,2,Halley Tang,L,4,0,0,0,0.0,1,0,0,6,7,2,0,0,0,0.0,0,0.0,7.0,13.0,0
2026-2027,2026-08-30,6583696,Western Caro.,SoCon,Clemson,ACC,Neutral,22,Zoe Zudans,OH,4,9,2,36,0.194,0,0,1,3,2,1,0,2,0,10.0,0,0.0,2.0,1.0,2
2026-2027,2026-08-30,6583696,Western Caro.,SoCon,Clemson,ACC,Neutral,15,Samantha Kranzler,OH,3,0,2,6,-0.333,1,1,1,7,17,1,0,0,0,1.0,0,0.0,3.0,6.0,0
2026-2027,2026-08-30,6583696,Western Caro.,SoCon,Clemson,ACC,Neutral,10,Peri Subat,OH,3,4,2,14,0.143,0,0,2,1,1,0,0,1,0,4.5,0,0.0,0.0,5.0,1
2026-2027,2026-08-30,6583696,Western Caro.,SoCon,Clemson,ACC,Neutral,8,Taylor Baggett,OH,1,0,0,2,0.0,0,0,0,0,0,0,0,1,0,0.5,0,,,,1
2026-2027,2026-08-30,6583696,Western Caro.,SoCon,Clemson,ACC,Neutral,16,Sophia Marini,OH,1,0,2,4,-0.5,0,0,0,0,0,0,0,0,0,0.0,0,,,,0
2026-2027,2026-08-30,6583696,Western Caro.,SoCon,Clemson,ACC,Neutral,20,Eda Yalçinkaya,L,1,0,0,0,0.0,0,0,1,3,0,0,0,0,0,0.0,0,0.0,0.0,1.0,0
2026-2027,2026-08-30,6583696,Clemson,ACC,Western Caro.,SoCon,Neutral,7,Maddie Anspaugh,OH,4,20,8,50,0.24,0,0,0,3,2,0,3,0,0,23.0,0,0.0,2.0,2.0,3
2026-2027,2026-08-30,6583696,Clemson,ACC,Western Caro.,SoCon,Neutral,28,McKenna Gildon,L/DS,4,0,0,0,0.0,0,1,3,8,9,0,0,0,0,1.0,0,0.0,5.0,10.0,0
2026-2027,2026-08-30,6583696,Clemson,ACC,Western Caro.,SoCon,Neutral,18,Alyssa Irwin,MB,4,6,6,19,0.0,0,0,0,5,0,0,2,4,0,10.0,0,0.0,1.0,0.0,6
