"team","Season","Date","Team","Conference","Opponent Team","Opponent Conference","Location","Number","Player","P","S","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RetAtt","RErr","BlockSolos","BlockAssists","BErr","PTS","BHE"
"Boston College","2023-2024",2023-08-25,"Boston College","ACC","Michigan","Big Ten","Home",11,"Alayna Crabtree","OH",3,10,4,23,0.261,0,0,1,4,13,0,0,1,0,10.5,0
"Boston College","2023-2024",2023-08-25,"Boston College","ACC","Michigan","Big Ten","Home",23,"Julia Haggerty","MB",3,4,0,9,0.444,0,0,0,0,0,0,0,3,0,5.5,0
"Boston College","2023-2024",2023-08-25,"Boston College","ACC","Michigan","Big Ten","Home",14,"Anna Herrington","MB",3,2,0,3,0.667,0,0,0,0,0,0,0,0,0,2,0
"Boston College","2023-2024",2023-08-25,"Boston College","ACC","Michigan","Big Ten","Home",9,"Katrina Jensen","OH",3,12,3,28,0.321,0,0,1,1,0,0,0,3,0,13.5,0
"Boston College","2023-2024",2023-08-25,"Boston College","ACC","Michigan","Big Ten","Home",5,"Sophia Lambros","S",3,0,0,0,0,20,2,1,7,0,0,0,0,0,2,0
"Boston College","2023-2024",2023-08-25,"Boston College","ACC","Michigan","Big Ten","Home",8,"Grace Milliken","MB",3,7,1,11,0.545,0,0,1,1,0,0,0,3,0,8.5,0
"Boston College","2023-2024",2023-08-25,"Boston College","ACC","Michigan","Big Ten","Home",4,"Anna Murphy","L",3,0,0,0,0,4,1,1,15,12,2,0,0,0,1,0
"Boston College","2023-2024",2023-08-25,"Boston College","ACC","Michigan","Big Ten","Home",1,"Grace Penn","S",3,0,0,0,0,14,0,1,3,0,0,0,0,0,0,0
"Boston College","2023-2024",2023-08-25,"Boston College","ACC","Michigan","Big Ten","Home",13,"Audrey Ross","OH",3,8,2,22,0.273,0,1,1,6,18,3,0,2,0,10,0
"Boston College","2023-2024",2023-08-25,"Boston College","ACC","Michigan","Big Ten","Home",16,"Brooklyn Yelland","DS",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Boston College","2023-2024",2023-08-27,"Boston College","ACC","Sacred Heart","NEC","Home",11,"Alayna Crabtree","OH",3,13,5,27,0.296,0,1,0,4,9,0,0,0,0,14,0
"Boston College","2023-2024",2023-08-27,"Boston College","ACC","Sacred Heart","NEC","Home",23,"Julia Haggerty","MB",1,0,1,2,-0.5,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2023-2024",2023-08-27,"Boston College","ACC","Sacred Heart","NEC","Home",14,"Anna Herrington","MB",1,1,1,4,0,0,0,0,1,0,0,0,0,0,1,0
"Boston College","2023-2024",2023-08-27,"Boston College","ACC","Sacred Heart","NEC","Home",7,"Hanna Hoffman","S",2,0,0,0,0,3,1,0,2,0,0,0,0,0,1,1
"Boston College","2023-2024",2023-08-27,"Boston College","ACC","Sacred Heart","NEC","Home",12,"Sam Hoppes","OPP",2,1,1,6,0,0,0,0,1,0,0,0,0,0,1,0
