"team","Season","Date","Team","Conference","Opponent Team","Opponent Conference","Location","Number","Player","P","S","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RetAtt","RErr","BlockSolos","BlockAssists","BErr","PTS","BHE"
"Boston College","2023-2024",2023-08-27,"Boston College","ACC","Sacred Heart","NEC","Home",9,"Katrina Jensen","OH",1,0,1,2,-0.5,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2023-2024",2023-08-27,"Boston College","ACC","Sacred Heart","NEC","Home",5,"Sophia Lambros","S",1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Boston College","2023-2024",2023-08-27,"Boston College","ACC","Sacred Heart","NEC","Home",10,"Peyton Minyard","MB",3,4,1,8,0.375,0,0,0,1,0,0,0,0,0,4,0
"Boston College","2023-2024",2023-08-27,"Boston College","ACC","Sacred Heart","NEC","Home",4,"Anna Murphy","L",3,0,0,0,0,1,2,0,14,21,2,0,0,0,2,0
"Boston College","2023-2024",2023-08-27,"Boston College","ACC","Sacred Heart","NEC","Home",1,"Grace Penn","S",2,0,0,0,0,11,2,0,2,0,0,0,0,0,2,1
"Boston College","2023-2024",2023-08-27,"Boston College","ACC","Sacred Heart","NEC","Home",19,"Jane Petrie","S",3,0,0,0,0,21,0,1,5,0,0,0,0,0,0,0
"Boston College","2023-2024",2023-08-27,"Boston College","ACC","Sacred Heart","NEC","Home",6,"Jenna Pollock","MB",3,9,2,20,0.35,0,0,0,2,0,0,0,0,0,9,0
"Boston College","2023-2024",2023-08-27,"Boston College","ACC","Sacred Heart","NEC","Home",17,"Cornelia Roach","MB",2,2,1,5,0.2,0,0,0,1,0,0,0,0,0,2,0
"Boston College","2023-2024",2023-08-27,"Boston College","ACC","Sacred Heart","NEC","Home",2,"Halle Schroder","OH",3,12,3,28,0.321,0,2,0,12,13,2,1,0,0,15,0
"Boston College","2023-2024",2023-08-27,"Boston College","ACC","Sacred Heart","NEC","Home",3,"Chandler Swanson","DS",2,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0
"Boston College","2023-2024",2023-08-27,"Boston College","ACC","Sacred Heart","NEC","Home",16,"Brooklyn Yelland","DS",2,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0
"Boston College","2023-2024",2023-08-30,"Boston College","ACC","New Hampshire","America East","Away",11,"Alayna Crabtree","OH",4,5,8,19,-0.158,0,1,2,8,25,0,0,2,0,7,0
"Boston College","2023-2024",2023-08-30,"Boston College","ACC","New Hampshire","America East","Away",23,"Julia Haggerty","MB",4,5,1,12,0.333,0,0,1,2,0,0,0,5,0,7.5,0
"Boston College","2023-2024",2023-08-30,"Boston College","ACC","New Hampshire","America East","Away",14,"Anna Herrington","MB",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0
"Boston College","2023-2024",2023-08-30,"Boston College","ACC","New Hampshire","America East","Away",9,"Katrina Jensen","OH",4,10,6,26,0.154,0,0,0,0,0,0,1,1,0,11.5,0
"Boston College","2023-2024",2023-08-30,"Boston College","ACC","New Hampshire","America East","Away",5,"Sophia Lambros","S",4,0,0,0,0,24,0,2,9,0,0,0,0,0,0,0
"Boston College","2023-2024",2023-08-30,"Boston College","ACC","New Hampshire","America East","Away",8,"Grace Milliken","MB",4,10,2,18,0.444,0,0,1,0,0,0,0,3,0,11.5,0
"Boston College","2023-2024",2023-08-30,"Boston College","ACC","New Hampshire","America East","Away",4,"Anna Murphy","L",4,0,1,3,-0.333,6,0,1,22,16,0,0,0,0,0,0
"Boston College","2023-2024",2023-08-30,"Boston College","ACC","New Hampshire","America East","Away",1,"Grace Penn","S",4,1,0,1,1,21,0,0,3,0,0,0,0,0,1,2
"Boston College","2023-2024",2023-08-30,"Boston College","ACC","New Hampshire","America East","Away",6,"Jenna Pollock","MB",4,10,2,21,0.381,0,0,0,2,0,0,0,2,0,11,0
"Boston College","2023-2024",2023-08-30,"Boston College","ACC","New Hampshire","America East","Away",13,"Audrey Ross","OH",2,2,4,11,-0.182,0,1,0,1,8,0,0,0,0,3,0
"Boston College","2023-2024",2023-08-30,"Boston College","ACC","New Hampshire","America East","Away",2,"Halle Schroder","OH",4,12,4,35,0.229,0,0,1,8,27,1,0,2,0,13,0
"Boston College","2023-2024",2023-08-30,"Boston College","ACC","New Hampshire","America East","Away",21,"Nikki Steinheiser","OH",1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
"Boston College","2023-2024",2023-08-30,"Boston College","ACC","New Hampshire","America East","Away",16,"Brooklyn Yelland","DS",4,0,0,1,0,0,0,2,3,7,0,0,0,0,0,0
"Boston College","2023-2024",2023-09-01,"Boston College","ACC","Tennessee","SEC","Home",11,"Alayna Crabtree","OH",3,7,3,19,0.211,0,0,0,0,8,0,0,0,0,7,0
"Boston College","2023-2024",2023-09-01,"Boston College","ACC","Tennessee","SEC","Home",23,"Julia Haggerty","MB",3,1,0,4,0.25,0,0,0,0,0,0,0,2,0,2,0
"Boston College","2023-2024",2023-09-01,"Boston College","ACC","Tennessee","SEC","Home",14,"Anna Herrington","MB",1,1,1,4,0,0,0,0,1,0,0,0,1,0,1.5,0
"Boston College","2023-2024",2023-09-01,"Boston College","ACC","Tennessee","SEC","Home",12,"Sam Hoppes","OPP",2,1,3,7,-0.286,0,0,0,1,0,0,0,0,0,1,0
"Boston College","2023-2024",2023-09-01,"Boston College","ACC","Tennessee","SEC","Home",9,"Katrina Jensen","OH",3,4,6,20,-0.1,0,0,0,0,0,0,0,0,0,4,0
"Boston College","2023-2024",2023-09-01,"Boston College","ACC","Tennessee","SEC","Home",5,"Sophia Lambros","S",3,0,1,1,-1,14,2,0,3,0,0,0,0,0,2,0
"Boston College","2023-2024",2023-09-01,"Boston College","ACC","Tennessee","SEC","Home",8,"Grace Milliken","MB",3,0,3,4,-0.75,0,0,0,3,0,0,0,0,0,0,0
"Boston College","2023-2024",2023-09-01,"Boston College","ACC","Tennessee","SEC","Home",4,"Anna Murphy","L",3,0,0,0,0,1,1,0,9,17,1,0,0,0,1,0
"Boston College","2023-2024",2023-09-01,"Boston College","ACC","Tennessee","SEC","Home",1,"Grace Penn","S",2,0,0,0,0,4,0,0,3,1,1,0,0,0,0,0
"Boston College","2023-2024",2023-09-01,"Boston College","ACC","Tennessee","SEC","Home",19,"Jane Petrie","S",2,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0
"Boston College","2023-2024",2023-09-01,"Boston College","ACC","Tennessee","SEC","Home",6,"Jenna Pollock","MB",2,2,1,7,0.143,0,0,0,0,0,0,0,0,1,2,0
"Boston College","2023-2024",2023-09-01,"Boston College","ACC","Tennessee","SEC","Home",17,"Cornelia Roach","MB",1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0
"Boston College","2023-2024",2023-09-01,"Boston College","ACC","Tennessee","SEC","Home",13,"Audrey Ross","OH",3,8,10,32,-0.063,0,0,3,1,22,0,1,1,0,9.5,0
"Boston College","2023-2024",2023-09-01,"Boston College","ACC","Tennessee","SEC","Home",2,"Halle Schroder","OH",2,1,0,1,1,0,0,0,0,2,2,0,0,0,1,0
"Boston College","2023-2024",2023-09-01,"Boston College","ACC","Tennessee","SEC","Home",21,"Nikki Steinheiser","OH",2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
"Boston College","2023-2024",2023-09-01,"Boston College","ACC","Tennessee","SEC","Home",3,"Chandler Swanson","DS",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2023-2024",2023-09-01,"Boston College","ACC","Tennessee","SEC","Home",16,"Brooklyn Yelland","DS",3,0,0,0,0,1,0,0,7,17,1,0,0,0,0,0
"Boston College","2023-2024",2023-09-02,"Boston College","ACC","San Diego","WCC","Away",11,"Alayna Crabtree","OH",4,11,4,29,0.241,0,2,1,8,23,0,0,1,0,13.5,0
"Boston College","2023-2024",2023-09-02,"Boston College","ACC","San Diego","WCC","Away",23,"Julia Haggerty","MB",4,1,0,8,0.125,1,0,0,2,0,0,2,2,0,4,0
"Boston College","2023-2024",2023-09-02,"Boston College","ACC","San Diego","WCC","Away",7,"Hanna Hoffman","S",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2023-2024",2023-09-02,"Boston College","ACC","San Diego","WCC","Away",12,"Sam Hoppes","OPP",1,0,1,2,-0.5,0,0,0,1,0,0,0,0,0,0,0
"Boston College","2023-2024",2023-09-02,"Boston College","ACC","San Diego","WCC","Away",9,"Katrina Jensen","OH",3,2,5,13,-0.231,0,0,0,0,0,0,0,1,0,2.5,0
"Boston College","2023-2024",2023-09-02,"Boston College","ACC","San Diego","WCC","Away",5,"Sophia Lambros","S",4,0,0,0,0,11,1,2,4,0,0,0,0,0,1,0
"Boston College","2023-2024",2023-09-02,"Boston College","ACC","San Diego","WCC","Away",8,"Grace Milliken","MB",4,3,1,7,0.286,1,0,2,1,0,0,1,6,0,7,0
"Boston College","2023-2024",2023-09-02,"Boston College","ACC","San Diego","WCC","Away",4,"Anna Murphy","L",4,0,0,0,0,2,1,0,19,20,3,0,0,0,1,0
"Boston College","2023-2024",2023-09-02,"Boston College","ACC","San Diego","WCC","Away",1,"Grace Penn","S",2,0,0,0,0,6,1,0,5,0,0,0,0,0,1,0
"Boston College","2023-2024",2023-09-02,"Boston College","ACC","San Diego","WCC","Away",19,"Jane Petrie","S",4,0,0,0,0,12,1,1,5,0,0,0,0,0,1,0
"Boston College","2023-2024",2023-09-02,"Boston College","ACC","San Diego","WCC","Away",6,"Jenna Pollock","MB",4,5,2,12,0.25,0,0,0,2,1,0,0,3,0,6.5,0
"Boston College","2023-2024",2023-09-02,"Boston College","ACC","San Diego","WCC","Away",13,"Audrey Ross","OH",3,2,3,16,-0.063,0,0,0,4,8,1,0,4,0,4,0
"Boston College","2023-2024",2023-09-02,"Boston College","ACC","San Diego","WCC","Away",2,"Halle Schroder","OH",4,11,4,43,0.163,0,0,0,6,23,6,0,1,0,11.5,0
"Boston College","2023-2024",2023-09-02,"Boston College","ACC","San Diego","WCC","Away",21,"Nikki Steinheiser","OH",1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
"Boston College","2023-2024",2023-09-02,"Boston College","ACC","San Diego","WCC","Away",3,"Chandler Swanson","DS",1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
"Boston College","2023-2024",2023-09-02,"Boston College","ACC","San Diego","WCC","Away",16,"Brooklyn Yelland","DS",2,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0
"Boston College","2023-2024",2023-09-03,"Boston College","ACC","UC Irvine","Big West","Away",11,"Alayna Crabtree","OH",4,21,6,46,0.326,0,2,0,8,27,2,0,1,0,23.5,0
"Boston College","2023-2024",2023-09-03,"Boston College","ACC","UC Irvine","Big West","Away",23,"Julia Haggerty","MB",4,4,0,11,0.364,1,0,1,1,0,0,1,4,1,7,0
"Boston College","2023-2024",2023-09-03,"Boston College","ACC","UC Irvine","Big West","Away",12,"Sam Hoppes","OPP",3,6,0,12,0.5,0,0,0,5,0,0,0,2,0,7,0
"Boston College","2023-2024",2023-09-03,"Boston College","ACC","UC Irvine","Big West","Away",9,"Katrina Jensen","OH",4,9,2,19,0.368,0,0,0,0,1,0,0,1,0,9.5,0
"Boston College","2023-2024",2023-09-03,"Boston College","ACC","UC Irvine","Big West","Away",5,"Sophia Lambros","S",4,1,0,1,1,29,1,0,8,0,0,0,0,0,2,1
"Boston College","2023-2024",2023-09-03,"Boston College","ACC","UC Irvine","Big West","Away",8,"Grace Milliken","MB",4,7,0,12,0.583,0,0,1,1,1,0,1,3,0,9.5,0
"Boston College","2023-2024",2023-09-03,"Boston College","ACC","UC Irvine","Big West","Away",4,"Anna Murphy","L",4,0,0,0,0,6,2,0,23,13,0,0,0,0,2,0
"Boston College","2023-2024",2023-09-03,"Boston College","ACC","UC Irvine","Big West","Away",1,"Grace Penn","S",3,0,0,0,0,20,0,0,11,0,0,0,0,0,0,0
"Boston College","2023-2024",2023-09-03,"Boston College","ACC","UC Irvine","Big West","Away",19,"Jane Petrie","S",1,0,0,0,0,2,1,1,1,0,0,0,0,0,1,1
"Boston College","2023-2024",2023-09-03,"Boston College","ACC","UC Irvine","Big West","Away",6,"Jenna Pollock","MB",1,1,0,7,0.143,0,0,0,0,0,0,0,0,0,1,0
"Boston College","2023-2024",2023-09-03,"Boston College","ACC","UC Irvine","Big West","Away",13,"Audrey Ross","OH",2,1,1,5,0,1,0,0,1,6,1,0,2,0,2,0
"Boston College","2023-2024",2023-09-03,"Boston College","ACC","UC Irvine","Big West","Away",2,"Halle Schroder","OH",4,12,1,34,0.324,0,1,2,9,16,1,0,1,0,13.5,0
"Boston College","2023-2024",2023-09-03,"Boston College","ACC","UC Irvine","Big West","Away",16,"Brooklyn Yelland","DS",4,0,0,0,0,1,1,0,6,9,0,0,0,0,1,0
"Boston College","2023-2024",2023-09-07,"Boston College","ACC","LIU","NEC","Away",11,"Alayna Crabtree","OH",1,3,1,6,0.333,0,0,0,2,1,0,0,0,0,3,0
"Boston College","2023-2024",2023-09-07,"Boston College","ACC","LIU","NEC","Away",23,"Julia Haggerty","MB",3,5,0,9,0.556,1,0,0,3,0,0,0,6,0,8,0
"Boston College","2023-2024",2023-09-07,"Boston College","ACC","LIU","NEC","Away",7,"Hanna Hoffman","S",1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
"Boston College","2023-2024",2023-09-07,"Boston College","ACC","LIU","NEC","Away",12,"Sam Hoppes","OPP",2,1,2,6,-0.167,0,0,0,0,0,0,0,2,0,2,0
"Boston College","2023-2024",2023-09-07,"Boston College","ACC","LIU","NEC","Away",9,"Katrina Jensen","OH",3,14,3,24,0.458,0,0,0,1,0,0,0,3,0,15.5,0
"Boston College","2023-2024",2023-09-07,"Boston College","ACC","LIU","NEC","Away",5,"Sophia Lambros","S",3,0,0,0,0,18,3,1,14,1,0,0,0,0,3,0
"Boston College","2023-2024",2023-09-07,"Boston College","ACC","LIU","NEC","Away",8,"Grace Milliken","MB",2,1,1,3,0,1,0,0,0,0,0,0,2,0,2,0
"Boston College","2023-2024",2023-09-07,"Boston College","ACC","LIU","NEC","Away",10,"Peyton Minyard","MB",2,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0
"Boston College","2023-2024",2023-09-07,"Boston College","ACC","LIU","NEC","Away",4,"Anna Murphy","L",3,0,0,2,0,1,0,1,12,11,0,0,0,0,0,0
"Boston College","2023-2024",2023-09-07,"Boston College","ACC","LIU","NEC","Away",1,"Grace Penn","S",2,0,0,0,0,8,2,1,4,0,0,0,0,0,2,0
"Boston College","2023-2024",2023-09-07,"Boston College","ACC","LIU","NEC","Away",19,"Jane Petrie","S",1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
"Boston College","2023-2024",2023-09-07,"Boston College","ACC","LIU","NEC","Away",6,"Jenna Pollock","MB",1,0,2,3,-0.667,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2023-2024",2023-09-07,"Boston College","ACC","LIU","NEC","Away",17,"Cornelia Roach","MB",1,1,0,2,0.5,0,0,0,0,0,0,0,0,1,1,0
"Boston College","2023-2024",2023-09-07,"Boston College","ACC","LIU","NEC","Away",13,"Audrey Ross","OH",2,7,5,26,0.077,0,1,1,5,7,0,0,1,0,8.5,0
"Boston College","2023-2024",2023-09-07,"Boston College","ACC","LIU","NEC","Away",2,"Halle Schroder","OH",3,8,1,22,0.318,1,0,1,13,9,0,0,2,0,9,0
"Boston College","2023-2024",2023-09-07,"Boston College","ACC","LIU","NEC","Away",21,"Nikki Steinheiser","OH",1,1,1,4,0,0,0,0,1,0,0,0,0,0,1,0
"Boston College","2023-2024",2023-09-07,"Boston College","ACC","LIU","NEC","Away",3,"Chandler Swanson","DS",1,1,0,1,1,2,0,0,0,5,0,0,0,0,1,0
"Boston College","2023-2024",2023-09-07,"Boston College","ACC","LIU","NEC","Away",16,"Brooklyn Yelland","DS",3,0,0,0,0,2,0,1,5,4,0,0,0,0,0,0
"Boston College","2023-2024",2023-09-08,"Boston College","ACC","Iona","MAAC","Away",11,"Alayna Crabtree","OH",3,6,4,15,0.133,0,2,1,6,9,0,0,1,0,8.5,0
"Boston College","2023-2024",2023-09-08,"Boston College","ACC","Iona","MAAC","Away",23,"Julia Haggerty","MB",3,8,1,16,0.438,0,0,1,0,0,0,3,3,0,12.5,0
"Boston College","2023-2024",2023-09-08,"Boston College","ACC","Iona","MAAC","Away",9,"Katrina Jensen","OH",3,12,3,24,0.375,0,0,0,3,0,0,0,0,0,12,0
"Boston College","2023-2024",2023-09-08,"Boston College","ACC","Iona","MAAC","Away",5,"Sophia Lambros","S",3,0,0,3,0,25,0,1,13,0,0,0,0,0,0,0
"Boston College","2023-2024",2023-09-08,"Boston College","ACC","Iona","MAAC","Away",8,"Grace Milliken","MB",3,2,0,6,0.333,0,0,0,1,0,0,1,1,0,3.5,0
"Boston College","2023-2024",2023-09-08,"Boston College","ACC","Iona","MAAC","Away",10,"Peyton Minyard","MB",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0
"Boston College","2023-2024",2023-09-08,"Boston College","ACC","Iona","MAAC","Away",4,"Anna Murphy","L",3,0,0,1,0,1,0,1,23,9,1,0,0,0,0,0
"Boston College","2023-2024",2023-09-08,"Boston College","ACC","Iona","MAAC","Away",1,"Grace Penn","S",3,0,0,0,0,12,2,1,4,0,0,0,0,0,2,0
"Boston College","2023-2024",2023-09-08,"Boston College","ACC","Iona","MAAC","Away",6,"Jenna Pollock","MB",3,6,3,19,0.158,0,0,0,2,0,0,0,2,0,7,0
"Boston College","2023-2024",2023-09-08,"Boston College","ACC","Iona","MAAC","Away",13,"Audrey Ross","OH",2,0,2,6,-0.333,0,1,0,0,4,1,0,1,0,1.5,0
"Boston College","2023-2024",2023-09-08,"Boston College","ACC","Iona","MAAC","Away",2,"Halle Schroder","OH",3,9,4,32,0.156,0,0,1,6,17,1,0,1,0,9.5,0
"Boston College","2023-2024",2023-09-08,"Boston College","ACC","Iona","MAAC","Away",21,"Nikki Steinheiser","OH",1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"Boston College","2023-2024",2023-09-08,"Boston College","ACC","Iona","MAAC","Away",16,"Brooklyn Yelland","DS",3,0,0,0,0,3,0,1,2,1,0,0,0,0,0,0
"Boston College","2023-2024",2023-09-09,"Boston College","ACC","Fordham","Atlantic 10","Home",11,"Alayna Crabtree","OH",3,3,3,16,0,0,2,1,7,14,0,1,0,1,6,0
"Boston College","2023-2024",2023-09-09,"Boston College","ACC","Fordham","Atlantic 10","Home",23,"Julia Haggerty","MB",3,6,1,12,0.417,0,0,0,2,1,0,0,3,0,7.5,0
"Boston College","2023-2024",2023-09-09,"Boston College","ACC","Fordham","Atlantic 10","Home",9,"Katrina Jensen","OH",3,14,3,24,0.458,0,0,0,1,0,0,0,2,0,15,0
"Boston College","2023-2024",2023-09-09,"Boston College","ACC","Fordham","Atlantic 10","Home",5,"Sophia Lambros","S",3,0,0,2,0,21,1,2,11,1,0,0,0,0,1,0
"Boston College","2023-2024",2023-09-09,"Boston College","ACC","Fordham","Atlantic 10","Home",8,"Grace Milliken","MB",3,8,0,18,0.444,0,0,0,0,0,0,1,2,0,10,0
"Boston College","2023-2024",2023-09-09,"Boston College","ACC","Fordham","Atlantic 10","Home",4,"Anna Murphy","L",3,0,0,0,0,7,0,0,18,15,0,0,0,0,0,0
"Boston College","2023-2024",2023-09-09,"Boston College","ACC","Fordham","Atlantic 10","Home",1,"Grace Penn","S",3,0,0,1,0,19,0,0,9,0,0,0,0,0,0,1
"Boston College","2023-2024",2023-09-09,"Boston College","ACC","Fordham","Atlantic 10","Home",6,"Jenna Pollock","MB",3,9,3,18,0.333,0,0,0,2,0,0,0,0,0,9,0
"Boston College","2023-2024",2023-09-09,"Boston College","ACC","Fordham","Atlantic 10","Home",13,"Audrey Ross","OH",1,2,1,4,0.25,0,0,0,2,3,0,0,1,0,2.5,0
"Boston College","2023-2024",2023-09-09,"Boston College","ACC","Fordham","Atlantic 10","Home",2,"Halle Schroder","OH",3,11,5,28,0.214,1,0,0,5,14,0,0,2,0,12,0
"Boston College","2023-2024",2023-09-09,"Boston College","ACC","Fordham","Atlantic 10","Home",21,"Nikki Steinheiser","OH",1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
"Boston College","2023-2024",2023-09-09,"Boston College","ACC","Fordham","Atlantic 10","Home",16,"Brooklyn Yelland","DS",3,0,0,0,0,4,0,1,0,8,0,0,0,0,0,0
"Boston College","2023-2024",2023-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Home",11,"Alayna Crabtree","OH",3,7,5,25,0.08,0,2,1,9,10,0,0,0,1,9,0
"Boston College","2023-2024",2023-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Home",23,"Julia Haggerty","MB",3,7,0,8,0.875,0,0,0,3,0,0,2,1,1,9.5,0
"Boston College","2023-2024",2023-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Home",7,"Hanna Hoffman","S",2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Boston College","2023-2024",2023-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Home",12,"Sam Hoppes","OPP",2,2,0,3,0.667,0,0,0,0,0,0,0,1,0,2.5,0
"Boston College","2023-2024",2023-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Home",9,"Katrina Jensen","OH",1,2,1,5,0.2,0,0,0,2,0,0,0,0,0,2,1
"Boston College","2023-2024",2023-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Home",5,"Sophia Lambros","S",1,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0
"Boston College","2023-2024",2023-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Home",8,"Grace Milliken","MB",3,4,1,7,0.429,0,0,0,1,0,0,0,3,0,5.5,0
"Boston College","2023-2024",2023-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Home",10,"Peyton Minyard","MB",1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"Boston College","2023-2024",2023-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Home",4,"Anna Murphy","L",3,1,0,1,1,2,0,0,14,16,1,0,0,0,1,0
"Boston College","2023-2024",2023-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Home",1,"Grace Penn","S",3,0,0,0,0,13,3,0,6,0,0,0,0,0,3,0
"Boston College","2023-2024",2023-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Home",19,"Jane Petrie","S",2,1,0,1,1,10,0,0,3,0,0,0,0,0,1,0
"Boston College","2023-2024",2023-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Home",6,"Jenna Pollock","MB",2,5,2,12,0.25,0,0,0,0,0,0,0,2,0,6,0
"Boston College","2023-2024",2023-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Home",17,"Cornelia Roach","MB",1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0
"Boston College","2023-2024",2023-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Home",13,"Audrey Ross","OH",2,3,3,9,0,0,0,0,1,0,0,0,0,0,3,0
"Boston College","2023-2024",2023-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Home",2,"Halle Schroder","OH",3,4,4,24,0,0,2,1,6,12,0,0,1,0,6.5,0
"Boston College","2023-2024",2023-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Home",3,"Chandler Swanson","DS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2023-2024",2023-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Home",16,"Brooklyn Yelland","DS",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Boston College","2023-2024",2023-09-15,"Boston College","ACC","Providence","Big East","Home",11,"Alayna Crabtree","OH",3,15,5,33,0.303,0,4,0,6,23,3,1,0,0,20,0
"Boston College","2023-2024",2023-09-15,"Boston College","ACC","Providence","Big East","Home",23,"Julia Haggerty","MB",3,3,1,6,0.333,1,0,0,0,0,0,0,0,0,3,0
"Boston College","2023-2024",2023-09-15,"Boston College","ACC","Providence","Big East","Home",9,"Katrina Jensen","OH",3,6,3,13,0.231,0,0,0,0,0,0,0,1,0,6.5,0
"Boston College","2023-2024",2023-09-15,"Boston College","ACC","Providence","Big East","Home",5,"Sophia Lambros","S",3,0,0,0,0,18,4,0,10,0,0,0,0,0,4,0
"Boston College","2023-2024",2023-09-15,"Boston College","ACC","Providence","Big East","Home",8,"Grace Milliken","MB",3,5,2,10,0.3,0,0,0,0,1,0,0,1,0,5.5,0
"Boston College","2023-2024",2023-09-15,"Boston College","ACC","Providence","Big East","Home",4,"Anna Murphy","L",3,0,0,0,0,6,1,0,15,21,0,0,0,0,1,0
